1873,5,-0.318
1873,6,-0.263
1873,7,-0.202
1873,8,-0.182
1873,9,-0.41
1873,10,-0.257
1873,11,-0.361
1873,12,-0.251
1874,1,-0.251
1874,2,-0.353
1874,3,-0.691
1874,4,-0.433
1874,5,-0.373
1874,6,-0.376
1874,7,-0.306
1874,8,-0.231
1874,9,-0.235
1874,10,-0.377
1874,11,-0.47
1874,12,-0.333
1875,1,-0.523
1875,2,-0.466
1875,3,-0.517
1875,4,-0.447
1875,5,-0.359
1875,6,-0.367
1875,7,-0.3
1875,8,-0.336
1875,9,-0.338
1875,10,-0.257
1875,11,-0.609
1875,12,-0.503
1876,1,-0.433
1876,2,-0.377
1876,3,-0.39
1876,4,-0.372
1876,5,-0.589
1876,6,-0.396
1876,7,-0.187
1876,8,-0.352
1876,9,-0.427
1876,10,-0.367
1876,11,-0.558
1876,12,-0.637
1877,1,-0.26
1877,2,-0.164
1877,3,-0.017
1877,4,-0.206
1877,5,-0.176
1877,6,-0.111
1877,7,0.06
1877,8,0.173
1877,9,0.11
1877,10,0.13
1877,11,0.141
1877,12,-0.123
1878,1,-0.041
1878,2,0.326
1878,3,0.491
1878,4,0.231
1878,5,-0.109
1878,6,0.036
1878,7,0.083
1878,8,0.047
1878,9,-0.048
1878,10,-0.071
1878,11,-0.021
1878,12,-0.177
1879,1,-0.174
1879,2,-0.301
1879,3,-0.121
1879,4,-0.368
1879,5,-0.296
1879,6,-0.216
1879,7,-0.247
1879,8,-0.312
1879,9,-0.372
1879,10,-0.147
1879,11,-0.283
1879,12,-0.509
1880,1,-0.45
1880,2,-0.539
1880,3,-0.304
1880,4,-0.359
1880,5,-0.25
1880,6,-0.316
1880,7,-0.301
1880,8,-0.229
1880,9,-0.444
1880,10,-0.368
1880,11,-0.217
1880,12,-0.293
1881,1,-0.141
1881,2,-0.252
1881,3,-0.137
1881,4,-0.065
1881,5,-0.101
1881,6,-0.405
1881,7,-0.216
1881,8,-0.216
1881,9,-0.348
1881,10,-0.288
1881,11,-0.45
1881,12,-0.264
1882,1,0.055
1882,2,-0.034
1882,3,-0.145
1882,4,-0.324
1882,5,-0.297
1882,6,-0.393
1882,7,-0.393
1882,8,-0.243
1882,9,-0.255
1882,10,-0.398
1882,11,-0.461
1882,12,-0.646
1883,1,-0.436
1883,2,-0.478
1883,3,-0.149
1883,4,-0.383
1883,5,-0.288
1883,6,-0.181
1883,7,-0.319
1883,8,-0.384
1883,9,-0.413
1883,10,-0.289
1883,11,-0.524
1883,12,-0.326
1884,1,-0.285
1884,2,-0.253
1884,3,-0.551
1884,4,-0.61
1884,5,-0.597
1884,6,-0.546
1884,7,-0.593
1884,8,-0.54
1884,9,-0.548
1884,10,-0.503
1884,11,-0.617
1884,12,-0.472
1885,1,-0.733
1885,2,-0.537
1885,3,-0.411
1885,4,-0.557
1885,5,-0.583
1885,6,-0.629
1885,7,-0.412
1885,8,-0.479
1885,9,-0.469
1885,10,-0.346
1885,11,-0.441
1885,12,-0.231
1886,1,-0.661
1886,2,-0.715
1886,3,-0.649
1886,4,-0.492
1886,5,-0.353
1886,6,-0.527
1886,7,-0.349
1886,8,-0.474
1886,9,-0.521
1886,10,-0.471
1886,11,-0.593
1886,12,-0.419
1887,1,-0.993
1887,2,-0.77
1887,3,-0.529
1887,4,-0.426
1887,5,-0.485
1887,6,-0.517
1887,7,-0.391
1887,8,-0.569
1887,9,-0.443
1887,10,-0.45
1887,11,-0.463
1887,12,-0.457
1888,1,-0.403
1888,2,-0.575
1888,3,-0.514
1888,4,-0.445
1888,5,-0.395
1888,6,-0.387
1888,7,-0.293
1888,8,-0.314
1888,9,-0.372
1888,10,-0.104
1888,11,-0.189
1888,12,-0.183
1889,1,-0.158
1889,2,0.163
1889,3,-0.005
1889,4,0.01
1889,5,-0.185
1889,6,-0.216
1889,7,-0.191
1889,8,-0.317
1889,9,-0.411
1889,10,-0.316
1889,11,-0.552
1889,12,-0.393
1890,1,-0.502
1890,2,-0.475
1890,3,-0.612
1890,4,-0.467
1890,5,-0.526
1890,6,-0.482
1890,7,-0.457
1890,8,-0.498
1890,9,-0.519
1890,10,-0.335
1890,11,-0.709
1890,12,-0.406
1891,1,-0.505
1891,2,-0.63
1891,3,-0.256
1891,4,-0.42
1891,5,-0.3
1891,6,-0.418
1891,7,-0.414
1891,8,-0.347
1891,9,-0.298
1891,10,-0.395
1891,11,-0.565
1891,12,-0.18
1892,1,-0.294
1892,2,-0.215
1892,3,-0.478
1892,4,-0.547
1892,5,-0.46
1892,6,-0.361
1892,7,-0.543
1892,8,-0.477
1892,9,-0.365
1892,10,-0.241
1892,11,-0.739
1892,12,-0.506
1893,1,-0.912
1893,2,-0.645
1893,3,-0.333
1893,4,-0.411
1893,5,-0.433
1893,6,-0.343
1893,7,-0.222
1893,8,-0.297
1893,9,-0.404
1893,10,-0.274
1893,11,-0.374
1893,12,-0.453
1894,1,-0.584
1894,2,-0.483
1894,3,-0.393
1894,4,-0.57
1894,5,-0.435
1894,6,-0.484
1894,7,-0.315
1894,8,-0.337
1894,9,-0.41
1894,10,-0.232
1894,11,-0.422
1894,12,-0.376
1895,1,-0.514
1895,2,-0.536
1895,3,-0.468
1895,4,-0.338
1895,5,-0.393
1895,6,-0.328
1895,7,-0.263
1895,8,-0.309
1895,9,-0.362
1895,10,-0.259
1895,11,-0.258
1895,12,-0.227
1896,1,-0.263
1896,2,-0.346
1896,3,-0.472
1896,4,-0.517
1896,5,-0.301
1896,6,-0.182
1896,7,-0.129
1896,8,-0.141
1896,9,-0.203
1896,10,-0.077
1896,11,-0.278
1896,12,-0.131
1897,1,-0.211
1897,2,-0.335
1897,3,-0.325
1897,4,-0.098
1897,5,-0.056
1897,6,-0.191
1897,7,-0.213
1897,8,-0.231
1897,9,-0.28
1897,10,-0.237
1897,11,-0.369
1897,12,-0.276
1898,1,-0.18
1898,2,-0.537
1898,3,-0.653
1898,4,-0.437
1898,5,-0.482
1898,6,-0.278
1898,7,-0.37
1898,8,-0.384
1898,9,-0.404
1898,10,-0.489
1898,11,-0.557
1898,12,-0.432
1899,1,-0.253
1899,2,-0.532
1899,3,-0.457
